Project,Unit ID,Contract Date,Bedrooms,Covered Area,Covered Veranda,Total Covered,Contract Amount,m²,Latitude,Longitude,Market Segment
Aurai,8,20/07/22,4,,,331,"2,500,000","7,553",34.718143,33.076267,Luxury
Aurai,2,20/12/17,4,,,306,"2,500,000","8,170",34.718143,33.076267,Luxury
Aurai,11,10/04/19,4,,,329,"2,151,000","6,538",34.718143,33.076267,Luxury
Aurai,7,16/10/18,3,,,276,"2,109,000","7,641",34.718143,33.076267,Luxury
Aurai,1,15/11/18,4,,,329,"2,100,000","6,383",34.718143,33.076267,Luxury
Aurai,10,18/06/18,4,,,331,"2,000,000","6,042",34.718143,33.076267,Luxury
Aurai,3,22/03/22,4,,,306,"1,729,879","5,653",34.718143,33.076267,Luxury
Poseidon Grand,UV11 (Grand),31/12/20,4,282.8,35.5,318.3,"2,098,320","6,592",34.678074,32.608842,Luxury
Poseidon Grand,UV12 (Grand),15/10/20,4,282.8,35.5,318.3,"2,050,000","6,440",34.678074,32.608842,Luxury
Poseidon Grand,UV09,02/11/22,4,282.8,35.5,318.3,"1,892,000","5,944",34.678074,32.608842,Luxury
Poseidon Grand,UJ07,28/02/20,3,171,23.4,194.4,"1,099,400","5,655",34.678074,32.608842,Luxury
Poseidon Grand,UJ08,29/10/20,3,171,23.4,194.4,"1,050,000","5,401",34.678074,32.608842,Luxury
Poseidon Grand,UJ05,30/06/22,3,171,23.4,194.4,"1,034,000","5,319",34.678074,32.608842,Luxury
Poseidon Grand,UJ01,28/02/20,3,171,23.4,194.4,"900,600","4,633",34.678074,32.608842,Luxury
Poseidon Grand,UJ06,25/05/20,3,171,23.4,194.4,"850,000","4,372",34.678074,32.608842,Luxury
Poseidon Grand,UJ04,07/10/21,3,171,23.4,194.4,"828,000","4,259",34.678074,32.608842,Luxury
Poseidon Grand,UJ03,02/08/21,2,154.5,23.4,177.9,"715,000","4,019",34.678074,32.608842,Luxury
Queen Sands,A3,29/03/19,4,230,45,275,"2,400,000","8,727",34.829113,32.390034,Luxury
Queen Sands,A1,29/03/19,4,230,45,275,"2,270,000","8,255",34.829113,32.390034,Luxury
Queen Sands,A2,12/08/18,4,230,40,270,"2,100,000","7,778",34.829113,32.390034,Luxury
Queen Sands,B2,23/07/20,3,206,85,291,"2,100,000","7,216",34.829113,32.390034,Luxury
Queen Sands,B1,29/03/19,3,206,85,291,"2,000,000","6,873",34.829113,32.390034,Luxury
Yoo,3,09/04/24,4,627,80,707,"7,000,000","9,901",34.708938,33.19195,Luxury
Yoo,36,22/11/23,3,440,58,498,"2,305,000","4,629",34.708938,33.19195,Luxury
Yoo,60,22/11/23,3,277,36,313,"1,847,000","5,901",34.708938,33.19195,Luxury
Yoo,58,22/11/23,3,284,36,320,"1,800,000","5,625",34.708938,33.19195,Luxury
Yoo,57,22/11/23,3,275,36,311,"1,792,000","5,762",34.708938,33.19195,Luxury
Yoo,59,22/11/23,3,272,36,308,"1,756,000","5,701",34.708938,33.19195,Luxury
Berengaria,H2,29/03/24,5,270.63,33.87,304.5,"3,550,000","11,658",34.950349,32.829831,Luxury
Berengaria,G1,09/11/23,4,228,41,269,"2,340,000","8,699",34.950349,32.829831,Luxury
Minthis Hills,V294,23/03/23,,210,30,240,"2,000,000","8,333",34.812686,32.503528,Luxury
Minthis Hills,Ridge Green 1,20/07/23,,153,30,183,"1,500,000","8,197",34.812686,32.503528,Luxury
Minthis Hills,Ridge Green 6,28/01/22,,129.5,33,162.5,"1,266,512","7,794",34.812686,32.503528,Luxury
Minthis Hills,Ridge Green 8,03/04/23,,115,21.5,136.5,"970,000","7,106",34.812686,32.503528,Luxury
Minthis Hills,428,26/03/24,,129.5,33,162.5,"1,277,750","7,863",34.812686,32.503528,Luxury
Limassol Greens,Villa 55,19/09/22,5,248,56,304,"1,800,000","5,921",34.644979,32.977234,Upscale
Limassol Greens,Villa 40,29/01/22,5,248,56,304,"1,800,000","5,921",34.644979,32.977234,Upscale
Limassol Greens,Villa 45,16/08/22,5,248,64,312,"1,646,100","5,276",34.644979,32.977234,Upscale
Limassol Greens,Villa 88,21/10/22,3,196,51,247,"1,200,000","4,858",34.644979,32.977234,Upscale
Limassol Greens,Villa 44,01/03/23,5,248,64,312,"1,800,000","5,769",34.644979,32.977234,Upscale
Limassol Greens,Villa 45,10/03/23,5,248,64,312,"1,786,100","5,725",34.644979,32.977234,Upscale
Limassol Greens,Villa 50,29/03/23,3,200,49,249,"1,525,000","6,124",34.644979,32.977234,Upscale
Limassol Greens,Villa 82,13/06/23,3,197,49,246,"1,280,000","5,203",34.644979,32.977234,Upscale
Limassol Greens,Villa 42,21/12/22,4,233,55,288,"1,674,000","5,813",34.644979,32.977234,Upscale
Dionysus Greens,MJ09,20/06/23,3,163.8,23.8,187.6,"1,018,000","5,426",34.685655,32.603978,Upscale
Dionysus Greens,MJ05,17/06/22,3,163.8,23.8,187.6,"1,000,000","5,330",34.685655,32.603978,Upscale
